username,tweet_count,team
BYUMBB,177,mens
GaelsWBB,500,womens
PacificMensBB,550,mens
Pacific_Hoops,457,womens
PeppBasketball,1146,mens
PortlandMBB,993,mens
PortlandWBB,967,womens
SantaClaraHoops,1118,mens
Santaclarawbb,400,womens
USDwbb,514,womens
USFDonsMBB,980,mens
USFDonsWBB,533,womens
WavesHoops,846,womens
ZagMBB,616,mens
ZagWBB,685,womens
byuwbb,657,womens
lmulionsMBB,854,mens
lmulionswb,599,womens
saintmaryshoops,760,mens
usdmbb,512,mens
