userID,username,name,created_at,followers_count,following_count,tweet_count,ESPN_name,conference,state,institution_name
620129988,MT_WBB,MT Women's Basketball,2012-06-27 14:37:28+00:00,8977,104,17694,Middle Tennessee Blue Raiders,Conference USA,TN,Middle Tennessee State University
157412251,HailStateWBK,Mississippi State Women's Basketball,2010-06-19 18:46:33+00:00,59374,185,29408,Mississippi State Bulldogs,SEC,MS,Mississippi State University
1286031146959220737,MvsuWBB,Valley State Women’s Basketball,2020-07-22 20:11:59+00:00,1467,691,351,Mississippi Valley State Devilettes,SWAC,MS,Mississippi Valley State University
72193070,MSULadyBears,MSU Lady Bears,2009-09-07 03:21:50+00:00,9806,201,10240,Missouri State Lady Bears,Missouri Valley,MO,Missouri State University-Springfield
291840684,MUHawksWBB,Monmouth Women's Basketball,2011-05-02 18:05:08+00:00,6140,551,11098,Monmouth Hawks,Colonial,NJ,Monmouth University
68454783,MSUBobcatsWBB,Montana State WBB,2009-08-24 17:07:01+00:00,5217,531,8482,Montana State Bobcats,Big Sky,MT,Montana State University
2724080204,MSUEaglesWBB,Morehead State WBB,2014-08-11 14:47:44+00:00,4881,280,2918,Morehead State Eagles,Ohio Valley,KY,Morehead State University
1176500089923219457,MSUBearsWBB,Morgan State Women’s Basketball,2019-09-24 14:14:28+00:00,1793,115,836,Morgan State Lady Bears,MEAC,MD,Morgan State University
76202758,Mount_WBB,Mount Women's Basketball,2009-09-22 00:49:41+00:00,3943,855,4140,Mount St. Mary's Mountaineers,MAAC,MD,Mount St. Mary's University
1090604918,RacersWBB,Murray State Women's Basketball,2013-01-15 00:41:30+00:00,6899,1419,5092,Murray State Racers,Missouri Valley,KY,Murray State University
3341372835,NJITWBB,NJIT Women’s Basketball,2015-06-22 14:15:21+00:00,4972,633,3285,NJIT Highlanders,America East,NJ,New Jersey Institute of Technology
3431954025,NMStateWBB,NM State WBB,2015-08-19 20:40:57+00:00,4289,208,8898,New Mexico State Aggies,WAC,NM,New Mexico State University-Main Campus
815224837,NiagaraWBB,Niagara Women's Basketball,2012-09-10 13:24:10+00:00,5078,538,8511,Niagara Purple Eagles,MAAC,NY,Niagara University
1877804664,Nicholls_WBB,Nicholls Women’s Basketball,2013-09-18 03:10:33+00:00,4372,974,6149,Nicholls Colonels,Southland,LA,Nicholls State University
555159455,NorfolkStateWBB,Norfolk State Women’s Basketball,2012-04-16 14:22:57+00:00,3156,363,3826,Norfolk State Spartans,MEAC,VA,Norfolk State University
620206071,LadyAggieBall,Lady Aggie Ball,2012-06-27 16:12:45+00:00,8898,2989,7073,North Carolina A&T Aggies,Colonial,NC,North Carolina A & T State University
585048684,NCCUWBB,NC Central WBB,2012-05-19 17:57:42+00:00,3398,331,1303,North Carolina Central Eagles,MEAC,NC,North Carolina Central University
47335665,PackWomensBball,NC State WBB 🐺🏀,2009-06-15 13:36:56+00:00,26029,878,23696,NC State Wolfpack,ACC,NC,North Carolina State University at Raleigh
27877068,NDSUwbb,NDSU Women's Basketball,2009-03-31 14:11:17+00:00,5268,643,10118,North Dakota State Bison,Summit League,ND,North Dakota State University-Main Campus
47677011,GoNUwbasketball,Northeastern Women’s Basketball,2009-06-16 17:05:03+00:00,2968,462,16714,Northeastern Huskies,Colonial,MA,Northeastern University
1626251382750875648,NAUWomensHoops,NAU Women's Basketball,2023-02-16 16:05:28+00:00,260,536,197,Northern Arizona Lumberjacks,Big Sky,AZ,Northern Arizona University
1719423613,GoHuskiesWBB,NIU Women's Basketball,2013-09-01 15:31:30+00:00,4494,1016,8862,Northern Illinois Huskies,Mid-American,IL,Northern Illinois University
339439981,NKUNorseWBB,NKU Women's Basketball 🏀,2011-07-21 03:20:08+00:00,4981,359,5655,Northern Kentucky Norse,Horizon,KY,Northern Kentucky University
404255050,NSUDemonsWBB,NSU Women's Hoops,2011-11-03 17:19:48+00:00,3573,399,16859,Northwestern State Lady Demons,Southland,LA,Northwestern State University of Louisiana
41688179,nuwbball,Northwestern Women’s Basketball,2009-05-21 22:02:01+00:00,8574,559,11003,Northwestern Wildcats,Big Ten,IL,Northwestern University
1056939611287625729,OaklandWBBall,Oakland Women's Basketball,2018-10-29 16:03:35+00:00,1876,256,2150,Oakland Golden Grizzlies,Horizon,MI,Oakland University
380369869,OhioWBasketball,Ohio Women’s Basketball,2011-09-26 14:49:46+00:00,4853,157,12226,Ohio Bobcats,Mid-American,OH,Ohio University-Main Campus
389611144,OSUWBB,OSU Cowgirl Basketball,2011-10-12 18:20:56+00:00,18787,585,15623,Oklahoma State Cowgirls,Big 12,OK,Oklahoma State University-Main Campus
1405560290373083136,ODU_WBB,ODU Women's Basketball,2021-06-17 16:17:49+00:00,1517,39,2159,Old Dominion Monarchs,Sun Belt,VA,Old Dominion University
1651007112,ORUWBB,ORU W. Basketball,2013-08-06 19:21:09+00:00,3996,136,8247,Oral Roberts Golden Eagles,Summit League,OK,Oral Roberts University
